"name","sku","description","search_keywords","availability_description","price","retail_price","sale_price","calculated_price","is_visible","is_featured","inventory_level","inventory_warning_level","warranty","weight","width","height","depth","fixed_cost_shipping_price","is_free_shipping","inventory_tracking","brand_id","page_title","categories","condition","upc","custom_url","primary_image","availability","brand","cost_price","image_1","image_2","image_3","image_4","image_5","image_6"
"[Sample] Anna, multi-colored bangles","AMCB","<p><strong>How to write product descriptions that sell</strong><br />One of the best things you can do to make your store successful is invest some time in writing great product descriptions. You want to provide detailed yet concise information that will entice potential customers to buy.<br /><br />Keep three things in mind:<br /><br /><strong>Think like a consumer</strong><br />Think about what you as a consumer would want to know, then include those features in your description. For clothes: materials and fit. For food: ingredients and how it was prepared. Bullets are your friends when listing features &mdash; try to limit each one to 5-8 words.<br /><br /><strong>Find differentiators</strong><br />Pepper your features with details that show how the product stands out against similar offerings. For clothes: is it vintage or hard to find? For art: is the artist well known? For home d&eacute;cor: is it a certain style like mid-century modern? Unique product descriptions not only help you stand out, they improve your SEO.<br /><br /><strong>Keep it simple</strong><br />Provide enough detail to help consumers make an informed decision, but don&rsquo;t overwhelm with a laundry list of features or flowery language. Densely pack your descriptions with useful information and watch products fly off the shelf.</p>","","","59.0000","0.0000","0.0000","59.0000",true,true,"","","","0.5000","4.0000","8.0000","4.0000","0.0000","","none",18,"","Accessories","New","","/sample-anna-multi-colored-bangles/","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/245/HERO_cocolee_anna_92865__20303.1426274995.1280.1280.jpg?c=2","available","Anna",,"http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/239/cocolee_anna_92851__19446.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/240/cocolee_anna_92852__63752.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/241/cocolee_anna_92853__67951.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/243/cocolee_anna_92854__10682.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/244/cocolee_anna_92855__77555.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/245/HERO_cocolee_anna_92865__20303.1426274995.1280.1280.jpg?c=2"
"[Sample] Anna, multi-colored bangles","AMCB-SILVER-B5D5C640","<p><strong>How to write product descriptions that sell</strong><br />One of the best things you can do to make your store successful is invest some time in writing great product descriptions. You want to provide detailed yet concise information that will entice potential customers to buy.<br /><br />Keep three things in mind:<br /><br /><strong>Think like a consumer</strong><br />Think about what you as a consumer would want to know, then include those features in your description. For clothes: materials and fit. For food: ingredients and how it was prepared. Bullets are your friends when listing features &mdash; try to limit each one to 5-8 words.<br /><br /><strong>Find differentiators</strong><br />Pepper your features with details that show how the product stands out against similar offerings. For clothes: is it vintage or hard to find? For art: is the artist well known? For home d&eacute;cor: is it a certain style like mid-century modern? Unique product descriptions not only help you stand out, they improve your SEO.<br /><br /><strong>Keep it simple</strong><br />Provide enough detail to help consumers make an informed decision, but don&rsquo;t overwhelm with a laundry list of features or flowery language. Densely pack your descriptions with useful information and watch products fly off the shelf.</p>","","","59.0000","0.0000","0.0000","59.0000",true,true,"","","","0.5000","4.0000","8.0000","4.0000","0.0000","","none",18,"","Accessories","New","","/sample-anna-multi-colored-bangles/","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/245/HERO_cocolee_anna_92865__20303.1426274995.1280.1280.jpg?c=2","available","Anna","0.0000","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/239/cocolee_anna_92851__19446.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/240/cocolee_anna_92852__63752.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/241/cocolee_anna_92853__67951.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/243/cocolee_anna_92854__10682.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/244/cocolee_anna_92855__77555.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/245/HERO_cocolee_anna_92865__20303.1426274995.1280.1280.jpg?c=2"
"[Sample] Anna, multi-colored bangles","AMCB-BLACK-C8DD6065","<p><strong>How to write product descriptions that sell</strong><br />One of the best things you can do to make your store successful is invest some time in writing great product descriptions. You want to provide detailed yet concise information that will entice potential customers to buy.<br /><br />Keep three things in mind:<br /><br /><strong>Think like a consumer</strong><br />Think about what you as a consumer would want to know, then include those features in your description. For clothes: materials and fit. For food: ingredients and how it was prepared. Bullets are your friends when listing features &mdash; try to limit each one to 5-8 words.<br /><br /><strong>Find differentiators</strong><br />Pepper your features with details that show how the product stands out against similar offerings. For clothes: is it vintage or hard to find? For art: is the artist well known? For home d&eacute;cor: is it a certain style like mid-century modern? Unique product descriptions not only help you stand out, they improve your SEO.<br /><br /><strong>Keep it simple</strong><br />Provide enough detail to help consumers make an informed decision, but don&rsquo;t overwhelm with a laundry list of features or flowery language. Densely pack your descriptions with useful information and watch products fly off the shelf.</p>","","","59.0000","0.0000","0.0000","59.0000",true,true,"","","","0.5000","4.0000","8.0000","4.0000","0.0000","","none",18,"","Accessories","New","","/sample-anna-multi-colored-bangles/","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/245/HERO_cocolee_anna_92865__20303.1426274995.1280.1280.jpg?c=2","available","Anna","0.0000","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/239/cocolee_anna_92851__19446.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/240/cocolee_anna_92852__63752.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/241/cocolee_anna_92853__67951.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/243/cocolee_anna_92854__10682.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/244/cocolee_anna_92855__77555.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/245/HERO_cocolee_anna_92865__20303.1426274995.1280.1280.jpg?c=2"
"[Sample] Anna, multi-colored bangles","AMCB-BLUE-3D00AD1B","<p><strong>How to write product descriptions that sell</strong><br />One of the best things you can do to make your store successful is invest some time in writing great product descriptions. You want to provide detailed yet concise information that will entice potential customers to buy.<br /><br />Keep three things in mind:<br /><br /><strong>Think like a consumer</strong><br />Think about what you as a consumer would want to know, then include those features in your description. For clothes: materials and fit. For food: ingredients and how it was prepared. Bullets are your friends when listing features &mdash; try to limit each one to 5-8 words.<br /><br /><strong>Find differentiators</strong><br />Pepper your features with details that show how the product stands out against similar offerings. For clothes: is it vintage or hard to find? For art: is the artist well known? For home d&eacute;cor: is it a certain style like mid-century modern? Unique product descriptions not only help you stand out, they improve your SEO.<br /><br /><strong>Keep it simple</strong><br />Provide enough detail to help consumers make an informed decision, but don&rsquo;t overwhelm with a laundry list of features or flowery language. Densely pack your descriptions with useful information and watch products fly off the shelf.</p>","","","59.0000","0.0000","0.0000","59.0000",true,true,"","","","0.5000","4.0000","8.0000","4.0000","0.0000","","none",18,"","Accessories","New","","/sample-anna-multi-colored-bangles/","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/245/HERO_cocolee_anna_92865__20303.1426274995.1280.1280.jpg?c=2","available","Anna","0.0000","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/239/cocolee_anna_92851__19446.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/240/cocolee_anna_92852__63752.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/241/cocolee_anna_92853__67951.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/243/cocolee_anna_92854__10682.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/244/cocolee_anna_92855__77555.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/245/HERO_cocolee_anna_92865__20303.1426274995.1280.1280.jpg?c=2"
"[Sample] Anna, multi-colored bangles","AMCB-ORANGE-D466D48C","<p><strong>How to write product descriptions that sell</strong><br />One of the best things you can do to make your store successful is invest some time in writing great product descriptions. You want to provide detailed yet concise information that will entice potential customers to buy.<br /><br />Keep three things in mind:<br /><br /><strong>Think like a consumer</strong><br />Think about what you as a consumer would want to know, then include those features in your description. For clothes: materials and fit. For food: ingredients and how it was prepared. Bullets are your friends when listing features &mdash; try to limit each one to 5-8 words.<br /><br /><strong>Find differentiators</strong><br />Pepper your features with details that show how the product stands out against similar offerings. For clothes: is it vintage or hard to find? For art: is the artist well known? For home d&eacute;cor: is it a certain style like mid-century modern? Unique product descriptions not only help you stand out, they improve your SEO.<br /><br /><strong>Keep it simple</strong><br />Provide enough detail to help consumers make an informed decision, but don&rsquo;t overwhelm with a laundry list of features or flowery language. Densely pack your descriptions with useful information and watch products fly off the shelf.</p>","","","59.0000","0.0000","0.0000","59.0000",true,true,"","","","0.5000","4.0000","8.0000","4.0000","0.0000","","none",18,"","Accessories","New","","/sample-anna-multi-colored-bangles/","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/245/HERO_cocolee_anna_92865__20303.1426274995.1280.1280.jpg?c=2","available","Anna","0.0000","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/239/cocolee_anna_92851__19446.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/240/cocolee_anna_92852__63752.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/241/cocolee_anna_92853__67951.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/243/cocolee_anna_92854__10682.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/244/cocolee_anna_92855__77555.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/33/images/245/HERO_cocolee_anna_92865__20303.1426274995.1280.1280.jpg?c=2"
"[Sample] Anna, bright single bangles","ABSB","<p><strong>How to write product descriptions that sell</strong><br />One of the best things you can do to make your store successful is invest some time in writing great product descriptions. You want to provide detailed yet concise information that will entice potential customers to buy.<br /><br />Keep three things in mind:<br /><br /><strong>Think like a consumer</strong><br />Think about what you as a consumer would want to know, then include those features in your description. For clothes: materials and fit. For food: ingredients and how it was prepared. Bullets are your friends when listing features &mdash; try to limit each one to 5-8 words.<br /><br /><strong>Find differentiators</strong><br />Pepper your features with details that show how the product stands out against similar offerings. For clothes: is it vintage or hard to find? For art: is the artist well known? For home d&eacute;cor: is it a certain style like mid-century modern? Unique product descriptions not only help you stand out, they improve your SEO.<br /><br /><strong>Keep it simple</strong><br />Provide enough detail to help consumers make an informed decision, but don&rsquo;t overwhelm with a laundry list of features or flowery language. Densely pack your descriptions with useful information and watch products fly off the shelf.</p>","","","29.0000","0.0000","0.0000","29.0000",true,"","","","","0.3000","4.0000","4.0000","2.0000","0.0000","","none",18,"","Accessories","New","","/sample-anna-bright-single-bangles/","http://cdn3.bigcommerce.com/s-5xk0g2/products/35/images/138/ni-colette-019__39118.1426274995.1280.1280.jpg?c=2","available","Anna",,"http://cdn3.bigcommerce.com/s-5xk0g2/products/35/images/138/ni-colette-019__39118.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/35/images/139/ni-colette-018__73060.1426274995.1280.1280.jpg?c=2",,,,
"[Sample] Anna, bright single bangles","ABSB-SILVER-5C99094E","<p><strong>How to write product descriptions that sell</strong><br />One of the best things you can do to make your store successful is invest some time in writing great product descriptions. You want to provide detailed yet concise information that will entice potential customers to buy.<br /><br />Keep three things in mind:<br /><br /><strong>Think like a consumer</strong><br />Think about what you as a consumer would want to know, then include those features in your description. For clothes: materials and fit. For food: ingredients and how it was prepared. Bullets are your friends when listing features &mdash; try to limit each one to 5-8 words.<br /><br /><strong>Find differentiators</strong><br />Pepper your features with details that show how the product stands out against similar offerings. For clothes: is it vintage or hard to find? For art: is the artist well known? For home d&eacute;cor: is it a certain style like mid-century modern? Unique product descriptions not only help you stand out, they improve your SEO.<br /><br /><strong>Keep it simple</strong><br />Provide enough detail to help consumers make an informed decision, but don&rsquo;t overwhelm with a laundry list of features or flowery language. Densely pack your descriptions with useful information and watch products fly off the shelf.</p>","","","29.0000","0.0000","0.0000","29.0000",true,"","","","","0.3000","4.0000","4.0000","2.0000","0.0000","","none",18,"","Accessories","New","","/sample-anna-bright-single-bangles/","http://cdn3.bigcommerce.com/s-5xk0g2/products/35/images/138/ni-colette-019__39118.1426274995.1280.1280.jpg?c=2","available","Anna","0.0000","http://cdn3.bigcommerce.com/s-5xk0g2/products/35/images/138/ni-colette-019__39118.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/35/images/139/ni-colette-018__73060.1426274995.1280.1280.jpg?c=2",,,,
"[Sample] Anna, bright single bangles","ABSB-BLACK-090079C5","<p><strong>How to write product descriptions that sell</strong><br />One of the best things you can do to make your store successful is invest some time in writing great product descriptions. You want to provide detailed yet concise information that will entice potential customers to buy.<br /><br />Keep three things in mind:<br /><br /><strong>Think like a consumer</strong><br />Think about what you as a consumer would want to know, then include those features in your description. For clothes: materials and fit. For food: ingredients and how it was prepared. Bullets are your friends when listing features &mdash; try to limit each one to 5-8 words.<br /><br /><strong>Find differentiators</strong><br />Pepper your features with details that show how the product stands out against similar offerings. For clothes: is it vintage or hard to find? For art: is the artist well known? For home d&eacute;cor: is it a certain style like mid-century modern? Unique product descriptions not only help you stand out, they improve your SEO.<br /><br /><strong>Keep it simple</strong><br />Provide enough detail to help consumers make an informed decision, but don&rsquo;t overwhelm with a laundry list of features or flowery language. Densely pack your descriptions with useful information and watch products fly off the shelf.</p>","","","29.0000","0.0000","0.0000","29.0000",true,"","","","","0.3000","4.0000","4.0000","2.0000","0.0000","","none",18,"","Accessories","New","","/sample-anna-bright-single-bangles/","http://cdn3.bigcommerce.com/s-5xk0g2/products/35/images/138/ni-colette-019__39118.1426274995.1280.1280.jpg?c=2","available","Anna","0.0000","http://cdn3.bigcommerce.com/s-5xk0g2/products/35/images/138/ni-colette-019__39118.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/35/images/139/ni-colette-018__73060.1426274995.1280.1280.jpg?c=2",,,,
"[Sample] Anna, bright single bangles","ABSB-BLUE-854E98B9","<p><strong>How to write product descriptions that sell</strong><br />One of the best things you can do to make your store successful is invest some time in writing great product descriptions. You want to provide detailed yet concise information that will entice potential customers to buy.<br /><br />Keep three things in mind:<br /><br /><strong>Think like a consumer</strong><br />Think about what you as a consumer would want to know, then include those features in your description. For clothes: materials and fit. For food: ingredients and how it was prepared. Bullets are your friends when listing features &mdash; try to limit each one to 5-8 words.<br /><br /><strong>Find differentiators</strong><br />Pepper your features with details that show how the product stands out against similar offerings. For clothes: is it vintage or hard to find? For art: is the artist well known? For home d&eacute;cor: is it a certain style like mid-century modern? Unique product descriptions not only help you stand out, they improve your SEO.<br /><br /><strong>Keep it simple</strong><br />Provide enough detail to help consumers make an informed decision, but don&rsquo;t overwhelm with a laundry list of features or flowery language. Densely pack your descriptions with useful information and watch products fly off the shelf.</p>","","","29.0000","0.0000","0.0000","29.0000",true,"","","","","0.3000","4.0000","4.0000","2.0000","0.0000","","none",18,"","Accessories","New","","/sample-anna-bright-single-bangles/","http://cdn3.bigcommerce.com/s-5xk0g2/products/35/images/138/ni-colette-019__39118.1426274995.1280.1280.jpg?c=2","available","Anna","0.0000","http://cdn3.bigcommerce.com/s-5xk0g2/products/35/images/138/ni-colette-019__39118.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/35/images/139/ni-colette-018__73060.1426274995.1280.1280.jpg?c=2",,,,
"[Sample] Anna, bright single bangles","ABSB-ORANGE-69A2FCF0","<p><strong>How to write product descriptions that sell</strong><br />One of the best things you can do to make your store successful is invest some time in writing great product descriptions. You want to provide detailed yet concise information that will entice potential customers to buy.<br /><br />Keep three things in mind:<br /><br /><strong>Think like a consumer</strong><br />Think about what you as a consumer would want to know, then include those features in your description. For clothes: materials and fit. For food: ingredients and how it was prepared. Bullets are your friends when listing features &mdash; try to limit each one to 5-8 words.<br /><br /><strong>Find differentiators</strong><br />Pepper your features with details that show how the product stands out against similar offerings. For clothes: is it vintage or hard to find? For art: is the artist well known? For home d&eacute;cor: is it a certain style like mid-century modern? Unique product descriptions not only help you stand out, they improve your SEO.<br /><br /><strong>Keep it simple</strong><br />Provide enough detail to help consumers make an informed decision, but don&rsquo;t overwhelm with a laundry list of features or flowery language. Densely pack your descriptions with useful information and watch products fly off the shelf.</p>","","","29.0000","0.0000","0.0000","29.0000",true,"","","","","0.3000","4.0000","4.0000","2.0000","0.0000","","none",18,"","Accessories","New","","/sample-anna-bright-single-bangles/","http://cdn3.bigcommerce.com/s-5xk0g2/products/35/images/138/ni-colette-019__39118.1426274995.1280.1280.jpg?c=2","available","Anna","0.0000","http://cdn3.bigcommerce.com/s-5xk0g2/products/35/images/138/ni-colette-019__39118.1426274995.1280.1280.jpg?c=2","http://cdn3.bigcommerce.com/s-5xk0g2/products/35/images/139/ni-colette-018__73060.1426274995.1280.1280.jpg?c=2",,,,
